CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8167180,1,1,3,M,58,1,0,P,-,1,VENTURA,CAMARILLO,2018
8414912,1,1,1,M,38,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8414912,1,2,2,F,29,4,3,L,G,0,VENTURA,"THOUSAND OAKS",2018
8414912,2,1,1,M,38,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8414912,2,2,2,M,10,4,3,L,G,3,VENTURA,"THOUSAND OAKS",2018
8414912,2,3,2,F,12,0,6,P,G,0,VENTURA,"THOUSAND OAKS",2018
8414916,2,1,1,F,32,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8414916,2,2,2,M,36,0,3,M,G,0,VENTURA,"THOUSAND OAKS",2018
8504531,1,1,1,F,36,4,1,L,G,0,VENTURA,CAMARILLO,2018
8513493,2,1,3,M,72,2,9,-,-,3,VENTURA,VENTURA,2018
8513633,1,1,2,-,27,0,3,M,G,0,VENTURA,MOORPARK,2018
8513633,2,1,1,F,38,3,1,L,G,0,VENTURA,MOORPARK,2018
8513633,2,2,2,M,1,0,6,L,Q,0,VENTURA,MOORPARK,2018
8514013,1,1,2,F,61,3,3,L,G,0,VENTURA,"THOUSAND OAKS",2018
8514013,2,1,2,M,28,4,3,M,G,0,VENTURA,"THOUSAND OAKS",2018
8530269,1,1,1,F,78,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8530327,1,1,1,F,29,4,1,L,G,0,VENTURA,CAMARILLO,2018
8530327,1,2,2,M,1,0,6,L,Q,0,VENTURA,CAMARILLO,2018
8530327,2,1,1,M,58,4,1,M,G,0,VENTURA,CAMARILLO,2018
8530398,2,1,2,M,11,4,3,M,G,0,VENTURA,CAMARILLO,2018
8530486,1,1,1,F,21,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8530779,1,1,1,F,50,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8530779,2,1,2,M,54,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8530783,1,1,4,M,51,3,1,-,V,1,VENTURA,"SIMI VALLEY",2018
8530783,2,1,1,F,62,3,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8530783,2,2,2,M,25,0,7,P,B,0,VENTURA,"SIMI VALLEY",2018
8531046,2,1,2,M,32,0,3,M,G,0,VENTURA,CAMARILLO,2018
8531046,2,2,1,F,56,4,1,M,G,0,VENTURA,CAMARILLO,2018
8531050,1,1,1,F,23,3,1,L,G,0,VENTURA,CAMARILLO,2018
8531091,1,1,1,F,35,4,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8531091,2,1,1,F,29,4,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8531091,2,2,2,M,29,4,3,L,G,0,VENTURA,"SIMI VALLEY",2018
8531091,2,3,2,M,10,4,5,P,G,0,VENTURA,"SIMI VALLEY",2018
8531091,2,4,2,M,9,3,4,P,G,0,VENTURA,"SIMI VALLEY",2018
8531095,2,1,1,M,24,4,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8531095,2,2,2,M,21,4,3,L,G,0,VENTURA,"SIMI VALLEY",2018
8531095,2,3,2,M,21,0,6,P,G,0,VENTURA,"SIMI VALLEY",2018
8531099,1,1,1,M,75,4,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8531099,2,1,2,M,16,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8531099,2,2,2,M,13,0,6,P,G,0,VENTURA,"SIMI VALLEY",2018
8531103,2,1,1,M,21,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8531107,1,1,4,M,61,3,1,P,-,0,VENTURA,"SIMI VALLEY",2018
8531728,2,1,4,F,40,4,1,P,W,0,VENTURA,VENTURA,2018
8531732,1,1,3,F,20,3,9,-,-,3,VENTURA,VENTURA,2018
8531736,1,1,1,F,76,4,1,-,-,3,VENTURA,VENTURA,2018
8531740,1,1,1,M,47,4,1,M,G,0,VENTURA,VENTURA,2018
8531740,1,2,2,F,5,4,6,M,Q,0,VENTURA,VENTURA,2018
8531740,1,3,2,M,7,0,3,M,G,0,VENTURA,VENTURA,2018
8531740,1,4,2,F,3,0,4,M,Q,0,VENTURA,VENTURA,2018
8531740,2,1,2,F,6,0,6,M,Q,0,VENTURA,VENTURA,2018
8531740,2,2,2,F,3,0,4,M,Q,0,VENTURA,VENTURA,2018
8531744,2,1,1,F,79,4,1,M,G,0,VENTURA,VENTURA,2018
8533628,1,1,1,M,36,4,1,L,G,0,VENTURA,"PORT HUENEME",2018
8533930,2,1,1,F,34,4,1,M,G,0,VENTURA,"PORT HUENEME",2018
8533934,2,1,2,M,13,4,2,M,G,0,VENTURA,"PORT HUENEME",2018
8533934,2,2,1,F,37,4,1,M,G,0,VENTURA,"PORT HUENEME",2018
8534054,2,1,1,F,68,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8534054,2,2,2,M,70,4,3,M,G,0,VENTURA,"THOUSAND OAKS",2018
8534345,2,1,2,F,10,4,4,M,G,0,VENTURA,"THOUSAND OAKS",2018
8534345,2,2,2,F,13,0,3,M,G,0,VENTURA,"THOUSAND OAKS",2018
8534349,2,1,2,M,12,0,3,M,G,0,VENTURA,"THOUSAND OAKS",2018
8534349,2,2,1,F,45,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8534493,2,1,3,M,57,4,9,-,-,0,VENTURA,"THOUSAND OAKS",2018
8534497,1,1,1,M,35,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8535236,2,1,4,M,24,4,9,-,-,3,VENTURA,VENTURA,2018
8535450,1,1,2,M,2,0,6,P,Q,0,VENTURA,CAMARILLO,2018
8535450,2,1,1,F,45,4,1,M,G,0,VENTURA,CAMARILLO,2018
8535684,1,1,1,M,19,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8535692,1,1,1,M,62,2,1,P,H,0,VENTURA,"THOUSAND OAKS",2018
8535696,1,1,1,F,24,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8535696,2,1,1,M,43,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8535696,3,1,2,M,13,0,6,M,G,0,VENTURA,"THOUSAND OAKS",2018
8535700,1,1,2,F,20,4,3,M,G,0,VENTURA,"THOUSAND OAKS",2018
8535700,2,1,1,M,49,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8535700,2,2,2,M,10,3,3,L,G,0,VENTURA,"THOUSAND OAKS",2018
8535746,1,1,1,F,33,4,1,L,G,0,VENTURA,CAMARILLO,2018
8535746,1,2,2,F,8,4,6,L,G,0,VENTURA,CAMARILLO,2018
8535748,1,1,1,F,41,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8535748,2,1,1,F,66,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8535748,2,2,2,F,70,4,3,L,G,0,VENTURA,"THOUSAND OAKS",2018
8536415,2,1,1,M,22,7,1,M,G,0,VENTURA,VENTURA,2018
8536415,3,1,2,-,998,0,6,M,Q,0,VENTURA,VENTURA,2018
8536419,1,1,1,F,20,4,1,L,G,3,VENTURA,VENTURA,2018
8536419,2,1,2,F,59,4,3,M,G,3,VENTURA,VENTURA,2018
8536419,2,2,1,M,60,4,1,M,G,3,VENTURA,VENTURA,2018
8536423,2,1,3,F,46,4,0,P,-,3,VENTURA,VENTURA,2018
8536612,1,1,1,M,22,4,1,-,-,3,VENTURA,VENTURA,2018
8536616,2,1,1,F,55,7,1,L,M,0,VENTURA,VENTURA,2018
8536620,2,1,2,F,40,4,3,M,G,0,VENTURA,VENTURA,2018
8536624,1,1,2,M,26,4,3,L,G,0,VENTURA,VENTURA,2018
8536624,1,2,2,F,1,0,5,P,Q,0,VENTURA,VENTURA,2018
8536628,1,1,2,F,18,7,3,M,G,0,VENTURA,VENTURA,2018
8536632,2,1,4,M,12,6,1,P,V,1,VENTURA,VENTURA,2018
8536636,1,1,1,M,26,4,1,-,-,3,VENTURA,VENTURA,2018
8536640,2,1,3,M,14,3,9,-,-,3,VENTURA,VENTURA,2018
8537991,2,1,4,M,69,4,1,P,W,1,VENTURA,MOORPARK,2018
8538703,1,1,1,M,19,4,1,L,G,0,VENTURA,MOORPARK,2018
8538703,1,2,2,M,19,4,3,L,G,0,VENTURA,MOORPARK,2018
8539184,2,1,2,M,5,4,4,M,Q,0,VENTURA,CAMARILLO,2018
8539184,2,2,1,F,25,4,1,M,G,0,VENTURA,CAMARILLO,2018
8539184,2,3,2,M,29,4,3,M,G,0,VENTURA,CAMARILLO,2018
8539184,2,4,2,F,7,0,5,M,G,0,VENTURA,CAMARILLO,2018
8539184,2,5,2,M,9,0,6,M,G,0,VENTURA,CAMARILLO,2018
8539188,1,1,1,F,19,4,1,M,G,0,VENTURA,CAMARILLO,2018
8539188,1,2,2,F,49,0,3,M,G,0,VENTURA,CAMARILLO,2018
8539188,2,1,1,F,59,4,1,L,G,3,VENTURA,CAMARILLO,2018
8539192,1,1,1,F,36,3,1,L,G,0,VENTURA,CAMARILLO,2018
8539192,2,1,1,F,31,3,1,L,G,0,VENTURA,CAMARILLO,2018
8539192,2,2,2,M,15,4,3,L,G,0,VENTURA,CAMARILLO,2018
8539192,2,3,2,F,6,0,4,L,Q,0,VENTURA,CAMARILLO,2018
8539196,2,1,1,M,25,2,1,P,W,1,VENTURA,CAMARILLO,2018
8540618,1,1,1,M,56,3,1,P,B,0,VENTURA,VENTURA,2018
8541123,2,1,3,F,42,3,9,P,-,0,VENTURA,VENTURA,2018
8541124,1,1,1,M,60,2,1,P,-,1,VENTURA,VENTURA,2018
8541127,2,1,1,M,34,4,1,M,G,0,VENTURA,VENTURA,2018
8541127,2,2,2,F,22,0,3,M,G,0,VENTURA,VENTURA,2018
8541923,1,1,1,M,26,4,1,L,G,0,VENTURA,FILLMORE,2018
8541923,2,1,1,F,31,4,1,L,G,0,VENTURA,FILLMORE,2018
8541923,2,2,2,F,56,4,3,L,G,0,VENTURA,FILLMORE,2018
8542603,2,1,1,F,32,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8542607,1,1,1,F,67,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8542611,2,1,1,F,38,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8543165,1,1,3,M,28,4,0,P,-,0,VENTURA,"THOUSAND OAKS",2018
8543173,2,1,1,F,54,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8543173,2,2,2,-,14,4,3,L,G,0,VENTURA,"THOUSAND OAKS",2018
8543181,3,1,1,F,60,4,1,M,G,0,VENTURA,VENTURA,2018
8543589,1,1,1,F,39,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8543589,1,2,2,M,4,0,4,L,Q,0,VENTURA,"THOUSAND OAKS",2018
8543589,2,1,1,M,72,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8543616,1,1,1,F,22,4,1,L,G,0,VENTURA,VENTURA,2018
8543616,2,1,1,F,36,4,1,M,G,0,VENTURA,VENTURA,2018
8545061,1,1,2,F,22,2,3,L,G,0,VENTURA,FILLMORE,2018
8545061,1,2,1,M,27,3,1,L,G,0,VENTURA,FILLMORE,2018
8545097,1,1,1,F,28,3,1,P,W,0,VENTURA,VENTURA,2018
8545097,1,2,2,M,27,0,2,P,Y,0,VENTURA,VENTURA,2018
8545152,1,1,1,M,59,3,1,L,G,0,VENTURA,CAMARILLO,2018
8545152,2,1,1,F,33,4,1,M,G,0,VENTURA,CAMARILLO,2018
8545156,1,1,1,M,75,3,1,L,-,0,VENTURA,CAMARILLO,2018
8545160,1,1,4,M,32,3,1,P,V,1,VENTURA,CAMARILLO,2018
8545172,1,1,2,F,56,0,3,L,G,0,VENTURA,VENTURA,2018
8545172,1,2,2,F,42,0,6,M,G,0,VENTURA,VENTURA,2018
8545172,2,1,1,F,36,4,1,M,G,0,VENTURA,VENTURA,2018
8545172,2,2,2,F,21,4,3,M,G,0,VENTURA,VENTURA,2018
8545176,2,1,3,F,18,4,9,-,-,3,VENTURA,VENTURA,2018
8545180,1,1,1,M,75,3,1,M,G,0,VENTURA,VENTURA,2018
8545184,1,1,1,M,21,2,1,P,-,3,VENTURA,VENTURA,2018
8545188,1,1,2,M,1,4,6,L,Q,0,VENTURA,VENTURA,2018
8545188,1,2,2,M,35,0,3,L,G,0,VENTURA,VENTURA,2018
8545188,1,3,2,F,17,4,4,L,G,0,VENTURA,VENTURA,2018
8545188,2,1,2,F,58,4,3,L,G,0,VENTURA,VENTURA,2018
8545192,2,1,2,F,14,4,3,L,G,3,VENTURA,VENTURA,2018
8545372,2,1,1,F,47,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8545372,2,2,2,M,16,0,3,L,G,0,VENTURA,"THOUSAND OAKS",2018
8545372,2,3,2,M,14,4,4,M,G,0,VENTURA,"THOUSAND OAKS",2018
8545372,2,4,2,F,7,0,6,M,Q,0,VENTURA,"THOUSAND OAKS",2018
8545393,1,1,2,F,48,3,1,L,G,0,VENTURA,CAMARILLO,2018
8545393,1,2,2,F,85,4,3,L,G,0,VENTURA,CAMARILLO,2018
8545393,1,3,2,F,23,0,4,L,G,0,VENTURA,CAMARILLO,2018
8545393,1,4,2,F,3,0,6,L,Q,0,VENTURA,CAMARILLO,2018
8545393,2,1,2,M,48,0,3,M,G,0,VENTURA,CAMARILLO,2018
8545393,3,1,1,M,18,4,1,L,G,0,VENTURA,CAMARILLO,2018
8545393,3,2,2,M,17,0,3,L,G,0,VENTURA,CAMARILLO,2018
8545690,1,1,1,M,17,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8545690,1,2,2,F,18,0,3,M,G,3,VENTURA,"THOUSAND OAKS",2018
8545690,2,1,1,F,16,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8546131,2,1,2,M,30,4,2,M,G,0,VENTURA,OJAI,2018
8546131,2,2,1,F,39,4,1,M,G,0,VENTURA,OJAI,2018
8546343,2,1,1,M,27,3,1,P,W,1,VENTURA,"THOUSAND OAKS",2018
8546347,1,1,1,M,53,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8546351,2,1,1,F,73,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8546355,1,1,1,F,33,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8546355,2,1,1,F,43,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8546363,2,1,2,F,50,4,3,G,-,0,VENTURA,"THOUSAND OAKS",2018
8546363,2,2,1,-,45,4,1,G,-,0,VENTURA,"THOUSAND OAKS",2018
8546841,2,1,1,M,68,4,1,M,G,0,VENTURA,CAMARILLO,2018
8546845,1,1,1,F,68,3,1,L,G,0,VENTURA,CAMARILLO,2018
8546845,2,1,2,F,49,0,3,M,G,0,VENTURA,CAMARILLO,2018
8546845,2,2,2,M,39,0,4,P,G,0,VENTURA,CAMARILLO,2018
8546848,1,1,1,M,63,3,1,P,W,3,VENTURA,"THOUSAND OAKS",2018
8546849,1,1,1,M,20,4,1,L,G,0,VENTURA,CAMARILLO,2018
8546865,1,1,1,F,28,4,1,M,G,0,VENTURA,CAMARILLO,2018
8548129,2,1,1,F,47,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8548133,1,1,1,M,90,3,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8548133,2,1,2,M,15,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8548137,1,1,1,M,28,3,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8548145,2,1,3,M,16,3,9,-,-,3,VENTURA,"SIMI VALLEY",2018
8548484,2,1,1,M,34,3,1,L,G,3,VENTURA,VENTURA,2018
8548488,2,1,1,F,77,7,1,L,G,0,VENTURA,VENTURA,2018
8548492,2,1,1,M,64,3,1,M,G,3,VENTURA,VENTURA,2018
8548496,1,1,4,F,43,7,9,P,-,0,VENTURA,VENTURA,2018
8548500,1,1,1,M,95,3,1,L,-,0,VENTURA,VENTURA,2018
8548500,2,1,1,M,70,3,1,-,-,3,VENTURA,VENTURA,2018
8548504,2,1,2,-,998,4,3,M,G,0,VENTURA,VENTURA,2018
8548504,2,2,1,-,75,4,1,M,G,0,VENTURA,VENTURA,2018
8548512,1,1,1,F,76,3,1,L,G,0,VENTURA,VENTURA,2018
8548516,3,1,1,M,52,7,1,M,G,0,VENTURA,VENTURA,2018
8548516,3,2,2,M,48,7,3,M,G,0,VENTURA,VENTURA,2018
8548520,2,1,2,F,11,4,3,M,G,0,VENTURA,VENTURA,2018
8548524,1,1,1,F,66,6,1,L,G,3,VENTURA,VENTURA,2018
8548524,2,1,1,F,31,6,1,L,G,0,VENTURA,VENTURA,2018
8548524,2,2,2,M,62,0,3,L,G,0,VENTURA,VENTURA,2018
8548528,2,1,1,F,35,4,1,L,G,0,VENTURA,VENTURA,2018
8548528,2,2,2,M,43,4,3,M,F,0,VENTURA,VENTURA,2018
8548528,3,1,1,M,24,4,1,L,G,0,VENTURA,VENTURA,2018
8548528,3,2,2,M,9,4,3,L,G,0,VENTURA,VENTURA,2018
8548576,2,1,1,M,67,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8548576,2,2,2,M,60,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8548600,1,1,1,M,50,4,1,L,G,0,VENTURA,VENTURA,2018
8548722,2,1,3,M,63,4,9,-,-,3,VENTURA,"SANTA PAULA",2018
8548726,1,1,1,-,27,4,9,-,-,3,VENTURA,"SANTA PAULA",2018
8550210,2,1,1,F,28,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8550490,1,1,1,M,18,2,1,B,-,0,VENTURA,"THOUSAND OAKS",2018
8551692,2,1,1,F,31,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8551696,2,1,1,M,48,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8551700,2,1,1,M,56,2,1,P,W,1,VENTURA,"THOUSAND OAKS",2018
8551708,1,1,1,F,38,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8551708,2,1,1,M,21,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8551755,1,1,1,M,90,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8551755,2,1,1,M,16,3,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8554420,2,1,3,-,75,4,9,-,-,3,VENTURA,OJAI,2018
8554510,2,1,1,F,30,4,1,L,G,0,VENTURA,"SANTA PAULA",2018
8555282,1,1,1,F,21,4,9,-,-,3,VENTURA,VENTURA,2018
8555287,1,1,1,M,46,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8555287,2,1,1,F,18,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8555452,1,1,2,F,10,0,3,M,G,0,VENTURA,"THOUSAND OAKS",2018
8555452,1,2,1,F,76,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8555534,2,1,3,F,9,3,9,P,V,0,VENTURA,CAMARILLO,2018
8555538,1,1,1,M,21,2,1,L,H,0,VENTURA,OJAI,2018
8555542,1,1,2,M,46,0,3,M,G,0,VENTURA,CAMARILLO,2018
8555542,2,1,4,M,48,3,1,P,W,1,VENTURA,CAMARILLO,2018
8556048,1,1,1,F,51,4,1,L,G,0,VENTURA,VENTURA,2018
8556048,2,1,1,F,19,4,1,L,G,0,VENTURA,VENTURA,2018
8556052,1,1,2,F,17,0,3,M,G,0,VENTURA,VENTURA,2018
8556052,2,1,1,M,38,3,1,P,W,1,VENTURA,VENTURA,2018
8556342,3,1,1,M,50,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8556404,1,1,1,F,56,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8556404,2,1,1,F,18,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8557067,1,1,3,M,11,4,9,-,-,3,VENTURA,"SANTA PAULA",2018
8558004,1,1,2,F,15,0,3,M,G,0,VENTURA,OXNARD,2018
8558004,2,1,4,M,27,4,9,P,-,0,VENTURA,OXNARD,2018
8560225,1,1,1,M,33,3,1,M,L,0,VENTURA,VENTURA,2018
8560244,1,1,3,M,86,4,9,-,-,3,VENTURA,"SIMI VALLEY",2018
8560248,2,1,1,F,19,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8560248,2,2,2,-,17,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8560252,1,1,2,F,24,0,3,L,G,0,VENTURA,"SIMI VALLEY",2018
8560252,2,1,1,F,55,3,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8560744,1,1,1,F,67,4,1,M,E,0,VENTURA,"THOUSAND OAKS",2018
8565953,1,1,1,M,23,3,1,L,B,3,VENTURA,CAMARILLO,2018
8568910,1,1,1,M,53,3,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8568922,1,1,1,M,18,3,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8568922,1,2,2,F,16,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8568922,3,1,1,M,52,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8568922,4,1,2,M,81,0,6,M,G,0,VENTURA,"SIMI VALLEY",2018
8568922,4,2,2,M,81,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8568934,2,1,1,M,68,4,1,L,G,0,VENTURA,"SIMI VALLEY",2018
